p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.29351885202699e-184,-0.438595111334795,0.922,0.903,1.03843046955125e-179,0,RPL23
1.95461071241183e-182,-0.955252730007615,0.034,0.152,4.72742146903926e-178,0,IFNG-AS1
3.1988374794898e-182,0.317938070692291,0.99,0.967,7.73670832789404e-178,0,ACTB
4.36869465763176e-182,-0.463514292489793,0.729,0.819,1.05661248989482e-177,0,DOCK10
7.91270329537825e-182,0.299562797596168,0.806,0.7,1.91376641902018e-177,0,MSN
1.33321508373561e-181,-0.603123345081539,0.482,0.614,3.22451400152296e-177,0,SLC2A3
1.97778512446874e-181,-0.523589648222026,0.722,0.771,4.78347110204009e-177,0,KLF2
2.77190123524947e-181,-0.551705356498491,0.581,0.693,6.70412032757436e-177,0,AC079793.1
1.22390232795219e-180,-0.391651081453101,0.129,0.283,2.96013017038517e-176,0,HOOK2
4.6249168669147e-180,-0.351728873206331,0.129,0.284,1.11858239343199e-175,0,SATB1
7.08593653696564e-180,-0.646688193693108,0.143,0.289,1.71380461083051e-175,0,SESN3
3.00486368561263e-179,0.288241216673801,0.59,0.412,7.2675633100227e-175,0,NIBAN1
1.36146557500141e-178,-0.308033069755848,0.062,0.196,3.2928406396984e-174,0,SH3YL1
8.56677148219974e-177,0.307370431780019,0.714,0.562,2.07195935068483e-172,0,ATP8A1
9.2139820396141e-176,-0.553617519578156,0.397,0.546,2.22849369610107e-171,0,PAG1
6.29839749743217e-174,-0.450047578458881,0.16,0.321,1.52333041872894e-169,0,RASGRF2
9.5443982725698e-174,0.307416158899739,0.324,0.19,2.30840816620373e-169,0,AGPAT4
1.19467615313987e-172,0.350560441992613,0.243,0.128,2.8894437439841e-168,0,PLEKHA5
5.97044614133625e-171,0.274512541693623,0.375,0.221,1.44401210374359e-166,0,PDGFD
1.49229454740941e-170,0.313603967681646,0.536,0.392,3.6092635923644e-166,0,ARPC5L
2.88584580760378e-170,-0.382837979718398,0.608,0.716,6.97970667027051e-166,0,NAP1L1
4.02023448998754e-169,-0.310256627283298,0.043,0.163,9.72333913748386e-165,0,TBC1D4
6.50682061304312e-169,-0.400496979904132,0.025,0.133,1.57373963347061e-164,0,ADAMTS17
2.07850186936068e-168,-0.587079852928465,0.289,0.443,5.02706462123573e-164,0,DUSP1
4.44728094510933e-168,-0.279161897795439,0.052,0.176,1.07561936938414e-163,0,NCF1
2.02708022530722e-167,0.289265807714516,0.419,0.27,4.90269623292805e-163,0,TPST2
2.37967707369576e-167,-0.312928727081766,0.012,0.113,5.75548697044057e-163,0,CARMIL1
3.49488851682577e-166,-0.274952914723471,0.013,0.114,8.45273736679481e-162,0,ACTN1
3.96940335179998e-166,0.268475709012711,0.563,0.394,9.60039894666342e-162,0,MYBL1
5.35951646789535e-164,0.282916630310999,0.239,0.128,1.29625265292517e-159,0,RAP2A
1.6799921967182e-163,-0.299350257377016,0.049,0.169,4.06322912698264e-159,0,SYNJ2
2.9248599326527e-163,-0.435079434813616,0.342,0.501,7.07406623311382e-159,0,NCK2
1.33478373693852e-161,-0.37870986518694,0.098,0.233,3.22830794615951e-157,0,SOCS3
4.13228950176082e-161,0.255875189769264,0.628,0.473,9.99435538895871e-157,0,CD63
3.04879752879252e-160,-0.440759587250176,0.28,0.441,7.37382170313759e-156,0,DOCK9
1.07672003095498e-159,-0.90047889224168,0.016,0.115,2.6041550668677e-155,0,AL136456.1
1.9560061399482e-159,0.324971395977072,0.411,0.277,4.73079645007871e-155,0,JMJD6
3.4990555997951e-159,-0.283593962792737,0.026,0.132,8.46281587366444e-155,0,PASK
8.45228583315303e-159,-0.463060888510621,0.246,0.406,2.04426985160639e-154,0,GNAQ
1.50297586709243e-158,-0.506318870865701,0.574,0.675,3.63509743214976e-154,0,NDFIP1
2.27781688462556e-158,-0.260502597760633,0.027,0.134,5.50912791715538e-154,0,PRKCA-AS1
3.63176829872356e-158,-0.421294361659825,0.514,0.646,8.7837948072928e-154,0,PPP1CB
3.70665226247582e-155,0.250559784792882,0.871,0.781,8.96490916202403e-151,0,UBB
1.3658580815236e-154,0.271426043683562,0.861,0.776,3.30346435597298e-150,0,PRKCB
1.80024530114781e-154,0.323669110639752,0.482,0.35,4.35407328535609e-150,0,SLC9A3R1
3.02481516056627e-153,-0.446904876866299,0.111,0.245,7.31581794734559e-149,0,ICOS
5.68527836614609e-153,-0.290561434581852,0.996,0.978,1.37504142563609e-148,0,TPT1
6.71803018287756e-153,-0.426252385041063,0.825,0.865,1.62482278003077e-148,0,JUND
4.34320079676257e-152,0.28654935965112,0.145,0.063,1.050446544705e-147,0,MSC-AS1
1.54716047773737e-151,0.272657670378478,0.671,0.528,3.7419623314556e-147,0,CMIP
2.75518020878939e-151,-0.250159801922742,0.059,0.18,6.66367885297803e-147,0,TNFRSF25
9.69163503846106e-151,-0.328752410821115,0.995,0.968,2.34401885040219e-146,0,RPL32
1.70258567923149e-150,0.254461024354492,0.803,0.665,4.11787372378927e-146,0,ANXA1
2.19418859001939e-150,0.251460810299561,0.297,0.169,5.30686452382089e-146,0,ADGRG5
2.71847043684761e-150,-0.51460631863673,0.46,0.588,6.57489259855963e-146,0,TGFBR2
3.07510113010512e-149,-0.34559446484012,0.202,0.358,7.43743959327224e-145,0,COTL1
2.22943609694195e-148,-0.46209476617878,0.011,0.1,5.3921141440638e-144,0,ATP8B4
7.34564736869116e-148,0.328357177423337,0.439,0.296,1.77661827259164e-143,0,TAFA1
8.00797579002771e-148,0.297844919645626,0.455,0.319,1.9368090245761e-143,0,PTPRE
1.49007267370999e-147,-0.324366576583537,0.086,0.212,3.60388976863498e-143,0,MPZL3
2.79055249989159e-147,-0.442385267897921,0.27,0.421,6.7492302762378e-143,0,TSPYL2
1.02403533402286e-146,-0.681282174566877,0.02,0.114,2.47673185886769e-142,0,EDA
1.91345563639675e-146,0.306985417005773,0.743,0.654,4.62788380218918e-142,0,ARL6IP5
1.91451296936084e-146,-0.378771695532836,0.072,0.19,4.63044106769613e-142,0,AP000787.1
5.27953318748344e-146,-0.5098941216552,0.164,0.304,1.27690789672475e-141,0,BTBD11
3.62796142159834e-144,0.30639472912369,0.35,0.224,8.77458749427775e-140,0,MIR4435-2HG
5.21976018621404e-144,-0.494952780851352,0.324,0.481,1.26245119863773e-139,0,IMMP2L
2.11802034837144e-143,-0.322691526869872,0.992,0.968,5.12264401457118e-139,0,RPS3A
3.10233668258049e-143,-0.405347741336971,0.635,0.753,7.50331150048918e-139,0,ELMO1
1.98934801282535e-142,0.296263515648473,0.709,0.602,4.81143710381938e-138,0,PLAAT4
2.53676538485479e-142,-0.47280448642885,0.127,0.259,6.13542075980979e-138,0,FOSB
4.04875494269797e-142,0.265687479344155,0.29,0.174,9.79231870440932e-138,0,ITGA5
1.72472874363672e-141,-0.259458665969984,0.032,0.132,4.17142893935976e-137,0,DENND5A
1.73115172782228e-141,0.314303706108211,0.615,0.51,4.18696356891096e-137,0,CAP1
1.11941340667341e-140,-0.317006744322075,0.993,0.968,2.70741326538032e-136,0,RPS6
3.1991971794989e-140,0.285017557910588,0.711,0.614,7.73757829833604e-136,0,GUK1
6.12511426150245e-140,0.263951339401419,0.572,0.441,1.48142013528698e-135,0,GSTP1
7.82071243446339e-140,-0.468508652804528,0.89,0.901,1.89151750939932e-135,0,ZFP36L2
1.02916107214356e-139,0.288961585897767,0.274,0.162,2.48912896908641e-135,0,MVB12B
2.68456243621308e-139,0.310614338574917,0.44,0.314,6.49288270822495e-135,0,CDC42EP3
1.00214666107557e-138,0.289278778083537,0.675,0.566,2.42379191447736e-134,0,TLN1
1.52927415493387e-138,0.289240152083134,0.544,0.409,3.69870247112306e-134,0,ATP2B4
3.99099380834186e-137,-0.891243869946366,0.144,0.258,9.65261762485563e-133,0,GZMK
4.08091591613935e-137,-0.494874095237092,0.168,0.305,9.87010323477463e-133,0,PCAT1
4.26236249915504e-137,0.285933322676268,0.605,0.491,1.03089499404564e-132,0,DBI
1.42779978831551e-136,-0.461332720753664,0.021,0.11,3.4532765680199e-132,0,L3MBTL4
1.68137927552391e-136,-0.293249499750045,0.992,0.954,4.06658391578213e-132,0,RPL36
5.67369890358494e-136,0.306623373697505,0.443,0.32,1.37224081682105e-131,0,ZBTB38
6.65654212116078e-136,0.308742963900497,0.615,0.5,1.60995127742395e-131,0,CLEC2B
4.54052546345647e-135,-0.349191793441287,0.166,0.304,1.09817148859158e-130,0,BIRC3
4.16802149196376e-134,-0.294282657838243,0.984,0.941,1.00807767804636e-129,0,RPL12
4.80556383444386e-134,-0.691504880218474,0.023,0.112,1.16227366899859e-129,0,BNC2
9.9668712193229e-134,0.3899105873377,0.518,0.398,2.41058747310544e-129,0,CMC1
1.4878732881935e-133,0.266860937331859,0.85,0.787,3.59857033482479e-129,0,OAZ1
1.65666424660179e-132,-0.369811841333217,0.578,0.686,4.00680814683108e-128,0,SMAP2
1.68030016936433e-132,-0.298590024862584,0.981,0.951,4.06397398962457e-128,0,RPL5
5.42099607933763e-132,-0.458166892992285,0.488,0.603,1.3111221117486e-127,0,TTC39C
1.16443406223998e-131,0.252185514649332,0.347,0.223,2.81630022293362e-127,0,LLGL2
1.2844394790114e-131,-0.417376707590957,0.58,0.699,3.10654532393696e-127,0,PDE7A
1.11864976102042e-130,0.258587674083877,0.869,0.789,2.70556631200398e-126,0,GAPDH
1.21207449763872e-130,-0.317829728098622,0.843,0.852,2.93152337998901e-126,0,NPM1
3.17052675419028e-130,-0.301103345336834,0.036,0.132,7.6682360076846e-126,0,TTN
4.15110533246368e-130,0.287780030716418,0.501,0.369,1.00398633570967e-125,0,ZFYVE28
