,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,
159,0,-0.634343431,0.394,0.483,0,0,ADGRE5,
160,0,-0.644498241,0.391,0.491,0,0,PARP8,
161,0,-0.646818234,0.359,0.469,0,0,AKNA,
162,0,-0.649578077,0.523,0.605,0,0,RNF213,
163,0,-0.673591797,0.892,0.891,0,0,CYBA,
164,0,-0.676185184,0.567,0.655,0,0,FYN,
165,0,-0.6856019,0.657,0.733,0,0,CD99,
166,0,-0.693006616,0.391,0.496,0,0,GSTP1,
167,0,-0.70533499,0.163,0.313,0,0,ACTN4,
168,0,-0.71421513,0.378,0.486,0,0,UTRN,
169,0,-0.722498864,0.244,0.359,0,0,CEMIP2,
170,0,-0.73051306,0.247,0.377,0,0,CD63,
171,0,-0.751704266,0.479,0.599,0,0,CD81,
172,0,-0.752378678,0.35,0.466,0,0,RABGAP1L,
173,0,-0.769496163,0.262,0.398,0,0,CBLB,
174,0,-0.769889983,0.454,0.576,0,0,LITAF,
175,0,-0.779891747,0.16,0.335,0,0,LYAR,
176,0,-0.790795976,0.227,0.368,0,0,SYTL3,
177,0,-0.791947465,0.424,0.553,0,0,IRF1,
178,0,-0.801939561,0.502,0.603,0,0,PRKCH,
179,0,-0.80676426,0.257,0.409,0,0,ITGAL,
180,0,-0.809368177,0.797,0.834,0,0,HCST,
181,0,-0.816547425,0.538,0.648,0,0,FLNA,
182,0,-0.818869387,0.333,0.479,0,0,GNG2,
183,0,-0.831792657,0.504,0.616,0,0,ABHD17A,
184,0,-0.850704033,0.243,0.422,0,0,CTSC,
185,0,-0.870988986,0.134,0.324,0,0,C12orf75,
186,0,-0.877596329,0.14,0.319,0,0,PYHIN1,
187,0,-0.892632426,0.678,0.762,0,0,ITGB2,
188,0,-0.906339092,0.17,0.345,0,0,KLRG1,
189,0,-0.90664984,0.132,0.331,0,0,TPST2,
190,0,-0.91522179,0.132,0.33,0,0,APMAP,
191,0,-0.932033569,0.146,0.344,0,0,SAMD3,
192,0,-0.966912283,0.151,0.358,0,0,MYO1F,
193,0,-0.971363565,0.462,0.552,0,0,MT2A,
194,0,-1.025471015,0.541,0.653,0,0,ZFP36,
195,0,-1.0292946,0.195,0.404,0,0,ID2,
196,0,-1.043872811,0.567,0.718,0,0,SRGN,
197,0,-1.046115358,0.114,0.326,0,0,CD8B,
198,0,-1.062110512,0.234,0.438,0,0,SYNE1,
199,0,-1.082962002,0.385,0.586,0,0,GZMM,
200,0,-1.108166449,0.301,0.523,0,0,RUNX3,
201,0,-1.131143897,0.178,0.42,0,0,HLA-DPB1,
202,0,-1.13528434,0.146,0.392,0,0,HLA-DPA1,
203,0,-1.155967953,0.086,0.302,0,0,HOPX,
204,0,-1.167249603,0.08,0.33,0,0,MATK,
205,0,-1.227218636,0.758,0.798,0,0,CD74,
206,0,-1.253082216,0.113,0.332,0,0,CMC1,
207,0,-1.484537046,0.096,0.364,0,0,CD8A,
208,0,-1.568508277,0.006,0.301,0,0,ZEB2,
209,0,-1.587381068,0.016,0.342,0,0,PLEK,
210,0,-1.614598633,0.168,0.469,0,0,EFHD2,
211,0,-1.63221202,0.055,0.357,0,0,AOAH,
212,0,-1.718981912,0.005,0.332,0,0,KLRD1,
213,0,-1.807340848,0.296,0.567,0,0,CTSW,
214,0,-1.837871319,0.232,0.52,0,0,DUSP2,
215,0,-2.099610989,0.001,0.303,0,0,CCL4,
216,0,-2.414128923,0.077,0.475,0,0,PRF1,
217,0,-2.465692546,0.093,0.56,0,0,GZMA,
218,0,-2.627076633,0,0.329,0,0,GZMB,
219,0,-2.897059592,0.002,0.416,0,0,GZMH,
220,0,-3.11267011,0.071,0.584,0,0,CST7,
221,0,-3.467888252,0.099,0.599,0,0,CCL5,
222,0,-4.664838914,0.007,0.321,0,0,GNLY,
223,0,-4.818653044,0.045,0.59,0,0,NKG7,
331,0,1.696879142,0.913,0.303,0,1,GZMH,CD56 dim NK
332,0,1.44872638,0.717,0.205,0,1,FGFBP2,
333,0,1.360525861,0.999,0.464,0,1,NKG7,
334,0,1.222084081,0.991,0.482,0,1,CCL5,
335,0,1.189418692,0.966,0.465,0,1,CST7,
336,0,1.139978832,0.796,0.233,0,1,GZMB,
337,0,1.037320118,0.781,0.227,0,1,GNLY,
338,0,1.034122679,0.618,0.252,0,1,KLRD1,
339,0,1.005420064,0.602,0.266,0,1,PLEK,
340,0,1.002591478,0.564,0.228,0,1,ZEB2,
341,0,0.98799873,0.747,0.394,0,1,EFHD2,
342,0,0.958968795,0.419,0.146,0,1,CX3CR1,
343,0,0.940630864,0.431,0.168,0,1,FCRL6,
344,0,0.935973003,0.83,0.377,0,1,PRF1,
345,0,0.928858567,0.433,0.155,0,1,ADGRG1,
346,0,0.89348305,0.543,0.298,0,1,KLRG1,
347,0,0.880609049,0.545,0.303,0,1,CD8A,
348,0,0.863181118,0.422,0.163,0,1,S1PR5,
349,0,0.857638859,0.889,0.454,0,1,GZMA,
350,0,0.833274389,0.421,0.183,0,1,TBX21,
351,0,0.817974361,0.608,0.363,0,1,HLA-DPB1,
352,0,0.792095507,0.531,0.233,0,1,CCL4,
353,0,0.786921339,0.568,0.288,0,1,AOAH,
354,0,0.775084394,0.804,0.501,0,1,CTSW,
355,0,0.770587426,0.784,0.618,0,1,FLNA,
356,0,0.769196526,0.481,0.279,0,1,C12orf75,
357,0,0.725520838,0.457,0.242,0,1,TGFBR3,
358,0,0.723379211,0.748,0.538,0,1,GZMM,
359,0,0.710713144,0.308,0.118,0,1,C1orf21,
360,0,0.707952799,0.588,0.391,0,1,SYNE1,
361,0,0.674415562,0.471,0.278,0,1,CD8B,
362,0,0.659865132,0.44,0.237,0,1,MAP3K8,
363,0,0.654430801,0.498,0.311,0,1,MYO1F,
364,0,0.645715916,0.468,0.295,0,1,LYAR,
365,0,0.643563809,0.732,0.587,0,1,ABHD17A,
366,0,0.642810383,0.986,0.935,0,1,SH3BGRL3,
367,0,0.640795146,0.845,0.711,0,1,CD99,
368,0,0.633215116,0.532,0.339,0,1,HLA-DPA1,
369,0,0.615997782,0.449,0.287,0,1,APMAP,
370,0,0.612733483,0.449,0.288,0,1,TPST2,
371,0,0.612239782,0.317,0.146,0,1,FGR,
372,0,0.606551051,0.467,0.277,0,1,MATK,
373,0,0.601760718,0.704,0.591,0,1,SLC9A3R1,
374,0,0.596387866,0.681,0.546,0,1,LITAF,
375,0,0.595789048,0.327,0.181,0,1,ABI3,
376,0,0.594914542,0.473,0.19,0,1,SPON2,
377,0,0.587559511,0.662,0.577,0,1,CD3G,
378,0,0.584158266,0.916,0.821,0,1,HCST,
379,0,0.574909435,0.424,0.281,0,1,PYHIN1,
380,0,0.573903132,0.453,0.302,0,1,SAMD3,
381,0,0.57005668,0.853,0.74,0,1,ITGB2,
382,0,0.569948003,0.438,0.255,0,1,HOPX,
497,5.20E-287,0.562116537,0.385,0.261,1.95E-282,1,APOBEC3G,
383,0,0.56047466,0.514,0.36,0,1,ID2,
384,0,0.558400805,0.639,0.476,0,1,RUNX3,
385,0,0.55704512,0.502,0.376,0,1,ITGAL,
386,0,0.553952629,0.306,0.127,0,1,FCGR3A,
387,0,0.553881802,0.515,0.384,0,1,CTSC,
388,0,0.548334517,0.637,0.525,0,1,IRF1,
389,0,0.548192099,0.788,0.711,0,1,PLAAT4,
390,0,0.539133574,0.948,0.885,0,1,CYBA,
391,0,0.532903384,0.998,0.983,0,1,HLA-C,
507,3.65E-262,0.532523035,0.376,0.26,1.37E-257,1,RASSF1,
392,0,0.527741451,0.582,0.482,0,1,PAXX,
500,2.00E-275,0.519212826,0.336,0.213,7.51E-271,1,MYBL1,
527,4.72E-211,0.518455837,0.365,0.267,1.77E-206,1,SH2D2A,
541,9.25E-193,0.50402123,0.303,0.209,3.47E-188,1,TRG-AS1,
393,0,0.500010941,0.31,0.154,0,1,CLIC3,
394,0,0.497564204,0.812,0.701,0,1,CLIC1,
395,0,0.495321375,0.743,0.685,0,1,PSMB9,
519,6.92E-225,0.481833191,0.314,0.207,2.60E-220,1,CHST12,
396,0,0.479258577,0.954,0.837,0,1,S100A4,
397,0,0.470982976,0.83,0.765,0,1,CD3D,
534,2.30E-201,0.470409967,0.485,0.41,8.64E-197,1,SSBP4,
496,9.95E-290,0.461803753,0.556,0.448,3.74E-285,1,GNG2,
398,0,0.460228671,0.972,0.876,0,1,IL32,
549,1.44E-170,0.458655216,0.441,0.368,5.42E-166,1,SPN,
560,3.63E-153,0.454490374,0.424,0.324,1.36E-148,1,LGALS1,
542,5.29E-189,0.451976679,0.399,0.291,1.99E-184,1,CMC1,
551,6.65E-168,0.443880971,0.341,0.257,2.50E-163,1,TSEN54,
492,5.96E-307,0.442825891,0.656,0.574,2.24E-302,1,CD81,
555,2.89E-160,0.432283639,0.423,0.348,1.08E-155,1,ARPC5L,
494,1.42E-302,0.431281788,0.616,0.464,5.33E-298,1,DUSP2,
557,4.94E-157,0.430913993,0.343,0.259,1.86E-152,1,DNAJC1,
525,8.03E-213,0.428781315,0.544,0.47,3.02E-208,1,PPP2R5C,
399,0,0.428475188,0.999,0.986,0,1,HLA-A,
